id,name,empl_id,project,process,sub_process,date,status,start_time,end_time,total_time,comments
39,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,Break,3/13/2018 4:27:32 PM,3/13/2018 4:27:57 PM,0.4,
40,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,Break,3/13/2018 4:27:58 PM,3/13/2018 4:28:05 PM,0.12,
41,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,System Locked,3/13/2018 5:00:49 PM,3/13/2018 5:00:50 PM,0.02,
42,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,System Locked,3/13/2018 5:03:31 PM,3/13/2018 5:05:14 PM,1.72,
43,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,13-Mar-18,System Locked,13-03-2018 16:21:12,13-03-2018 17:07:01,45.8,
44,CGPRAHn2jx3zh/vsrZdSHA==,BMXraUrJlWC7VDm9TGmr1g==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,13-Mar-18,System Locked,3/13/2018 4:19:21 PM,3/13/2018 5:07:48 PM,48.43,
45,T4tv8n9icJz201/URnYfyw==,SnfemQpuaa7NRov7sMlN1A==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,13-Mar-18,System Locked,13-03-2018 17:08:55,13-03-2018 17:08:58,0.05,
31,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,12-Mar-18,Break,3/13/2018 1:42:20 PM,3/13/2018 1:43:49 PM,1.47,
32,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,12-Mar-18,Break,3/13/2018 3:56:56 PM,3/13/2018 4:00:09 PM,3.22,
33,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,12-Mar-18,Break,3/13/2018 4:00:51 PM,3/13/2018 4:04:49 PM,3.97,
34,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,12-Mar-18,System Locked,13-Mar-18 4:07:08 PM,13-Mar-18 4:07:14 PM,0.1,
35,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,12-Mar-18,System Locked,13-Mar-18 4:07:08 PM,13-Mar-18 4:07:14 PM,0.1,
